,name,parent_zone,rent,sell,subzones,rentability_sqm1rooms,rentability_sqm3rooms,rentability_sqm2rooms,rentability_sqm4rooms,rentability_terrace,rentability_elevator,rentability_furnished,rentability_parking,avg_rentability,groups
"Jarandilla De La Vera, Cáceres Provincia",Jarandilla De La Vera,Cáceres Provincia,"{'sqm1rooms': 1125, 'sqm3rooms': 836, 'sqm2rooms': 901, 'sqm4rooms': 750, 'terrace': 843, 'elevator': 1050, 'furnished': 1090, 'parking': 916, 'avgsqm': 120, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 792, 'price': 89139, 'b100': 82667, 'a100': 92205}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],3.0193236714975846,1.7233560090702946,2.166907166907167,1.4392630972941853,1.5795390668915121,1.8607123870281765,2.4716553287981857,1.5467747382641,1.9759414332189005,0
"Navalmoral De La Mata, Cáceres Provincia",Navalmoral De La Mata,Cáceres Provincia,"{'sqm1rooms': 1133, 'sqm3rooms': 1020, 'sqm2rooms': 1311, 'sqm4rooms': 972, 'terrace': 977, 'elevator': 1021, 'furnished': 1198, 'parking': 1112, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 990, 'price': 95087, 'b100': 89268, 'a100': 102618}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],3.0407944176060115,2.102659245516388,3.152958152958153,1.865284974093264,1.8306164511898069,1.8093212830054934,2.7165532879818595,1.8777440054035799,2.29949147721932,0
"Malpartida De Plasencia, Cáceres Provincia",Malpartida De Plasencia,Cáceres Provincia,"{'sqm1rooms': -1, 'sqm3rooms': 556, 'sqm2rooms': 1163, 'sqm4rooms': 585, 'terrace': 640, 'elevator': -1, 'furnished': 709, 'parking': 435, 'avgsqm': 108, 'avgtype': 'Casa', 'avgrooms': 4, 'avgfloors': 3, 'pricepersqm': 619, 'price': 73242, 'b100': 76950, 'a100': 72806}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,1.1461554318697176,2.797017797017797,1.1226252158894647,1.1991755667978266,-0.00177210703526493,1.6077097505668936,0.7345491388044579,1.0753471188309174,0
"Trujillo, Cáceres Provincia",Trujillo,Cáceres Provincia,"{'sqm1rooms': -1, 'sqm3rooms': 1051, 'sqm2rooms': 883, 'sqm4rooms': 957, 'terrace': 864, 'elevator': 1321, 'furnished': 793, 'parking': 1041, 'avgsqm': 86, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 946, 'price': 96043, 'b100': 91300, 'a100': 100355}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,2.166563595135024,2.1236171236171235,1.8364997121473805,1.6188870151770656,2.3409533935849725,1.7981859410430838,1.7578520770010133,1.7049843768052637,0
"Casar De Cáceres, Cáceres Provincia",Casar De Cáceres,Cáceres Provincia,"{'sqm1rooms': -1, 'sqm3rooms': 762, 'sqm2rooms': 1152, 'sqm4rooms': 663, 'terrace': 742, 'elevator': 850, 'furnished': 764, 'parking': 1040, 'avgsqm': 100, 'avgtype': 'Casa', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 720, 'price': 76344, 'b100': 75362, 'a100': 76757}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,1.5708101422387137,2.7705627705627704,1.2723085780080599,1.3902941727562301,1.5062909799751905,1.7324263038548753,1.7561634582911176,1.4995215703029257,0
"Jaraíz De La Vera, Cáceres Provincia",Jaraíz De La Vera,Cáceres Provincia,"{'sqm1rooms': -1, 'sqm3rooms': 820, 'sqm2rooms': 1151, 'sqm4rooms': 687, 'terrace': 627, 'elevator': 930, 'furnished': 723, 'parking': 685, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 4, 'avgfloors': 0, 'pricepersqm': 715, 'price': 77824, 'b100': 79792, 'a100': 76782}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,1.6903731189445474,2.768157768157768,1.3183649971214737,1.1748173130972455,1.648059542796385,1.6394557823129252,1.1567038162782843,1.4241560619306346,0
"Malpartida De Cáceres, Cáceres Provincia",Malpartida De Cáceres,Cáceres Provincia,"{'sqm1rooms': -1, 'sqm3rooms': 887, 'sqm2rooms': -1, 'sqm4rooms': 892, 'terrace': 890, 'elevator': 872, 'furnished': 937, 'parking': 891, 'avgsqm': 150, 'avgtype': 'Casa', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 892, 'price': 92864, 'b100': 79250, 'a100': 109200}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,1.8284889713461143,-0.0024050024050024047,1.711763577048551,1.6676035225782273,1.545277334751019,2.124716553287982,1.5045592705167172,1.2971650479825068,0
"Moraleja, Cáceres Provincia",Moraleja,Cáceres Provincia,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
"Sierra De Fuentes, Cáceres Provincia",Sierra De Fuentes,Cáceres Provincia,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
"Arroyo De La Luz, Cáceres Provincia",Arroyo De La Luz,Cáceres Provincia,"{'sqm1rooms': -1, 'sqm3rooms': 752, 'sqm2rooms': -1, 'sqm4rooms': 743, 'terrace': 689, 'elevator': -1, 'furnished': 702, 'parking': 719, 'avgsqm': 90, 'avgtype': 'Casa', 'avgrooms': 3, 'avgfloors': 1, 'pricepersqm': 737, 'price': 76917, 'b100': 73000, 'a100': 80833}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,1.5501958359101216,-0.0024050024050024047,1.425829975052773,1.290987446130785,-0.00177210703526493,1.5918367346938775,1.2141168524147248,0.8832632364373076,0
"Miajadas, Cáceres Provincia",Miajadas,Cáceres Provincia,"{'sqm1rooms': -1, 'sqm3rooms': 695, 'sqm2rooms': 928, 'sqm4rooms': 592, 'terrace': 658, 'elevator': 800, 'furnished': 702, 'parking': 491, 'avgsqm': 161, 'avgtype': 'Casa', 'avgrooms': 3, 'avgfloors': 1, 'pricepersqm': 648, 'price': 84871, 'b100': 74990, 'a100': 85769}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,1.4326942898371469,2.2318422318422315,1.1360583381308769,1.2329023796140153,1.417685628211944,1.5918367346938775,0.8291117865585951,1.2336809432031417,0
"Villanueva De La Vera, Cáceres Provincia",Villanueva De La Vera,Cáceres Provincia,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
"Madrigal De La Vera, Cáceres Provincia",Madrigal De La Vera,Cáceres Provincia,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
"Valencia De Alcántara, Cáceres Provincia",Valencia De Alcántara,Cáceres Provincia,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
"Montánchez, Cáceres Provincia",Montánchez,Cáceres Provincia,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
"Alcuéscar, Cáceres Provincia",Alcuéscar,Cáceres Provincia,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
"Aldeanueva De La Vera, Cáceres Provincia",Aldeanueva De La Vera,Cáceres Provincia,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
